Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,In stock?,Stock,Weight (kg),Length (cm),Width (cm),Height (cm),Sale price,Regular price,Categories,Tags,Images,Parent,Brands,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default
variable,RAV-RAVEDTAFEL-9300000193285894,Raved Tafelzeil 140 140 - PVC - Afwasbaar,1,,visible,,"<p>Geef je tafel direct een <strong>sfeervolle make-over</strong> met dit <strong>afwasbare PVC tafelzeil</strong> met een stijlvol <strong>gestreept beige patroon</strong> – ideaal voor binnen én buiten, voor een onderhoudsvriendelijke en toch elegante tafelopstelling.</p> <p><strong>Verander je tafel in een stijlvolle, onderhoudsvriendelijke blikvanger</strong> met dit prachtige <strong>tafelzeil</strong> van het vertrouwde merk <strong>Raved</strong>. Met een breedte van 140 cm, uitgevoerd in een elegant <strong>beige strepenpatroon</strong>, combineert dit tafelzeil design en functionaliteit op een slimme manier.</p> <h3>Gemak en bescherming in één</h3> <p>Dankzij het hoogwaardige <strong>PVC-materiaal</strong> is dit tafelzeil volledig <strong>afwasbaar</strong>, waardoor je veilig kunt genieten van familiediners, knutselmomenten met kinderen of een ontspannen buitenlunch op het terras. Geen zorgen meer over vlekken, vocht of krassen: het tafelzeil beschermt jouw tafel tegen alledaagse gevaren.</p> <h3>Stijlvolle uitstraling</h3> <p>Het subtiele strepenpatroon in beige voegt direct een warme en moderne touch toe aan elk interieur of buitenruimte. Of je nu een houten tafel hebt in de eetkamer of een kunststof buiten tafel op het balkon: dit tafelzeil sluit aan op een rustige, natuurlijke kleurstelling en verhoogt de sfeer.</p> <h3>Binnen én buiten gebruik</h3> <p>Dankzij het materiaal en het ontwerp is dit tafelzeil geschikt voor zowel <strong>binnen als buiten</strong> gebruik — ideaal voor wisselende seizoenen, buiteneten in de zomer of extra bescherming in huis. Let er wel op dat je het tafelzeil bij langdurige regen of vochtigheid indrukt naar binnen haalt om verkleuring of verwering te voorkomen.</p> <h3>Specificaties & voordelen</h3> <ul> <li> <p>Materiaal: <strong>PVC</strong>, onderhoudsvriendelijk en duurzaam.</p> </li> <li> <p>Kleur/patroon: <strong>beige strepenpatroon</strong>, stijlvol en tijdloos.</p> </li> <li> <p>Geschikt voor binnen & buiten; eenvoudig schoon te maken met een vochtige doek.</p> </li> <li> <p>Ideaal voor: gezinnen met kinderen, buitengebruik, tafels die bescherming nodig hebben.</p> </li> </ul> <h3>Waarom kiezen voor dit tafelzeil?</h3> <ul> <li> <p><strong>Rust en bescherming</strong>: Verlies de tafel niet uit het oog door knoeien of geur: je beschermt jouw investering.</p> </li> <li> <p><strong>Sfeervol interieur</strong>: Je hoeft niet te kiezen tussen praktisch en mooi — dit tafelzeil levert beiden.</p> </li> <li> <p><strong>Direct resultaat</strong>: Binnen enkele minuten transformeer je je tafel zonder stoffig of langdurig renovatieproces.</p> </li> <li> <p><strong>Veelzijdig gebruik</strong>: Van kinderactiviteit tot summer-barbecue — jouw tafel is er klaar voor.</p> </li> </ul> <p>Mis deze kans niet om jouw tafel een upgrade te geven én meteen het onderhoudsgemak te ervaren. Klik op “In winkelwagen” en breng stijl én rust terug op je eettafel of buitenplek!</p>",1,999,,,,,,,Tafellaken,"Tafellaken,PVC,Tafelzeil,Rechthoek,Overig,Print,Raved",https://media.s-bol.com/RvpB91DLy9rq/gJX9YvZ/1200x590.jpg,,Raved,,Size,"140 x 50 cm, 140 x 100 cm, 140 x 140 cm, 140 x 160 cm, 140 x 180 cm, 140 x 200 cm, 140 x 220 cm, 140 x 230 cm, 140 x 240 cm, 140 x 250 cm, 140 x 260 cm, 140 x 270 cm, 140 x 280 cm, 140 x 290 cm, 140 x 300 cm, 140 x 310 cm, 140 x 320 cm, 140 x 350 cm",0,0,140 x 50 cm,,,,,
variation,9501169262120,Raved Tafelzeil – 140 cm x 50 cm – Getekende Bladeren Groen – PVC – Afwasbaar,1,,visible,,,1,999,,,,,26.95,38.59,Tafellaken,,https://media.s-bol.com/mW1XjZ0O3Oon/KrEyKyY/1200x589.jpg,RAV-RAVEDTAFEL-9300000193285894,Raved,0,Size,140 x 50 cm,,0,,,,,,
variation,9509288533183,Raved Tafelzeil – 140 cm x 100 cm – Strepen Beige – PVC - Afwasbaar,1,,visible,,,1,999,,,,,26.95,38.59,Tafellaken,,https://media.s-bol.com/KlgE4QyryoLl/W6B9OZ4/1200x590.jpg,RAV-RAVEDTAFEL-9300000193285894,Raved,1,Size,140 x 100 cm,,0,,,,,,
variation,9508797895317,Raved Tafelzeil – 140 cm x 140 cm – Getekende Bladeren Groen – PVC – Afwasbaar,1,,visible,,,1,999,,,,,26.95,38.59,Tafellaken,,https://media.s-bol.com/Z16XK3yWKYPg/ElLvGBl/1200x1200.jpg,RAV-RAVEDTAFEL-9300000193285894,Raved,2,Size,140 x 140 cm,,0,,,,,,
variation,9507323593574,Raved Tafelzeil – 140 cm x 160 cm – Strepen Beige – PVC - Afwasbaar,1,,visible,,,1,999,,,,,26.95,38.59,Tafellaken,,https://media.s-bol.com/RvpB91DLy9rq/gJX9YvZ/1200x590.jpg,RAV-RAVEDTAFEL-9300000193285894,Raved,3,Size,140 x 160 cm,,0,,,,,,
variation,9503356788567,Raved Tafelzeil – 140 cm x 180 cm – Strepen Beige – PVC - Afwasbaar,1,,visible,,,1,999,,,,,26.95,38.59,Tafellaken,,https://media.s-bol.com/qWg8NZkWzQo7/31JxRk4/1200x590.jpg,RAV-RAVEDTAFEL-9300000193285894,Raved,4,Size,140 x 180 cm,,0,,,,,,
variation,9508384461819,Raved Tafelzeil – 140 cm x 200 cm – Strepen Beige – PVC - Afwasbaar,1,,visible,,,1,999,,,,,26.95,38.59,Tafellaken,,https://media.s-bol.com/BGVE46Y0PVz2/DkEVNzA/1200x590.jpg,RAV-RAVEDTAFEL-9300000193285894,Raved,5,Size,140 x 200 cm,,0,,,,,,
variation,9509852881276,Raved Tafelzeil – 140 cm x 220 cm – Getekende Bladeren Groen – PVC – Afwasbaar,1,,visible,,,1,999,,,,,26.95,38.59,Tafellaken,,https://media.s-bol.com/RN6ByRKZD4Kz/AnEoA2j/1200x1200.jpg,RAV-RAVEDTAFEL-9300000193285894,Raved,6,Size,140 x 220 cm,,0,,,,,,
variation,9506127991982,Raved Tafelzeil – 140 cm x 230 cm – Strepen Beige – PVC - Afwasbaar,1,,visible,,,1,999,,,,,26.95,38.59,Tafellaken,,https://media.s-bol.com/Nol1406wp9X2/KrEVX0l/1200x590.jpg,RAV-RAVEDTAFEL-9300000193285894,Raved,7,Size,140 x 230 cm,,0,,,,,,
variation,9504672282685,Raved Tafelzeil – 140 cm x 240 cm – Strepen Beige – PVC - Afwasbaar,1,,visible,,,1,999,,,,,26.95,38.59,Tafellaken,,https://media.s-bol.com/YDzXg59KN9lA/QWL8JQM/1200x590.jpg,RAV-RAVEDTAFEL-9300000193285894,Raved,8,Size,140 x 240 cm,,0,,,,,,
