ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,Brands,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global"
12609,variable,RAV-RAVEDTAFEL-12609,,"Raved Tafelzeil - Boerenbont Ruit Blauw",1,0,visible,"Raved Tafelzeil blauw. Tafelzeil van top kwaliteit. OEKO-TEX gecertificeerd; vrij van ftalaten.","<h2 id=""raved-tafelzeil---boerenbont-ruit-blauw-klassieke-schoonheid-voor-jouw-tafel"">Raved Tafelzeil - Boerenbont Ruit Blauw: Klassieke Schoonheid voor Jouw Tafel</h2>\n<p>Raved Tafelzeil is dé ideale oplossing voor het combineren van elegantie en functionaliteit op je tafel. Voeg een vleugje klassieke charme toe terwijl je je tafeloppervlak beschermt tegen morsen en vlekken.</p>\n<h3 id=""praktische-bescherming"">Praktische Bescherming</h3>\n<p>Met een PVC bovenlaag biedt dit tafelzeil een waterafstotend oppervlak dat eenvoudig schoon te vegen is met een vochtige doek. De zachte polyester onderkant voorkomt krassen en verlengt de levensduur van je tafel.</p>\n<h3 id=""veilig-en-milieuvriendelijk"">Veilig en Milieuvriendelijk</h3>\n<p>Dankzij de OEKO-TEX® Standard 100 certificering weet je zeker dat je een product kiest dat vrij is van schadelijke stoffen. Het tafelzeil is ftalaten vrij, wat betekent dat het veilig is voor dagelijks gebruik door het hele gezin.</p>\n<ul>\n<li>Klassiek blauw geruit design voor een tijdloze uitstraling</li>\n<li>140 cm x 100 cm afmetingen voor optimale dekking</li>\n<li>Eenvoudig schoon te maken dankzij de PVC toplaag</li>\n<li>Beschermt je tafel met een zachte polyester onderkant</li>\n<li>Gecertificeerd voor een veilige en gezonde huisomgeving</li>\n</ul>\n<p>Maak van elke maaltijd een stijlvolle gelegenheid en bescherm je tafel met Raved Tafelzeil. Wacht niet langer, geef je tafel een frisse look en geniet van de voordelen vandaag nog!</p>\n\n<p>Bekijk ook onze <a href=""https://ravedfabrics.com/product-category/tafelzeil-nl/tafelzeil-bestsellers/"">tafelzeil bestsellers</a>!</p>",,,taxable,,1,,,0,0,1,,,,0,"Bedankt voor je bestelling! Je tafelzeil wordt binnen 1-2 werkdagen verzonden. Tip: laat 15 cm overhang voor het mooiste resultaat.",,,"Tafelzeil > Ruit > Boerenbont Tafelzeil, PVC Tafelzeil, Tafelzeil > Ruit, Tafelzeil","Blauw, Boerenbont Ruit, PVC, Ruit, Tafelzeil",,"https://ravedfabrics.com/wp-content/uploads/2022/09/Raved-tafelzeil-boerenbont-ruit-blauw-2.jpg, https://ravedfabrics.com/wp-content/uploads/2022/09/Raved-tafelzeil-boerenbont-ruit-blauw-1.jpg, https://ravedfabrics.com/wp-content/uploads/2022/08/1200x1200.jpg, https://ravedfabrics.com/wp-content/uploads/2022/09/Raved-tafelzeil-boerenbont-ruit-blauw-3.jpg, https://ravedfabrics.com/wp-content/uploads/2022/11/Informatie-1.png, https://ravedfabrics.com/wp-content/uploads/2022/11/Informatie-2.png",,,,,,,,,1831,Raved,"Google Title","Raved Tafelzeil - Boerenbont Ruit Blauw - Tafelzeil - PVC - Afwasbaar - Op Maat",0,0,size,"140 x 100 cm, 140 x 140 cm, 140 x 160 cm, 140 x 180 cm, 140 x 200 cm, 140 x 220 cm, 140 x 230 cm, 140 x 240 cm, 140 x 250 cm, 140 x 260 cm, 140 x 270 cm, 140 x 280 cm, 140 x 290 cm, 140 x 300 cm, 140 x 310 cm, 140 x 320 cm, 140 x 350 cm, 140 x 50 cm, Staaltje",0,0
12625,variation,9509892912923,,"Raved Tafelzeil - Boerenbont Ruit Blauw - 140 x 350 cm",1,0,visible,,6021,,,taxable,parent,1,21,,0,0,0.5,350,140,0.3,0,,,"37,99",,,,https://ravedfabrics.com/wp-content/uploads/2022/09/Raved-tafelzeil-boerenbont-ruit-blauw-2.jpg,,,RAV-RAVEDTAFEL-12609,,,,,,18,,size,"140 x 350 cm",,0,,,,
12623,variation,9503683981372,,"Raved Tafelzeil - Boerenbont Ruit Blauw - 140 x 310 cm",1,0,visible,,6019,,,taxable,parent,1,24,,0,0,0.5,310,140,0.3,0,,,"35,99",,,,https://ravedfabrics.com/wp-content/uploads/2022/09/Raved-tafelzeil-boerenbont-ruit-blauw-2.jpg,,,RAV-RAVEDTAFEL-12609,,,,,,16,,size,"140 x 310 cm",,0,,,,
12624,variation,9509182298188,,"Raved Tafelzeil - Boerenbont Ruit Blauw - 140 x 320 cm",1,0,visible,,6020,,,taxable,parent,1,23,,0,0,0.5,320,140,0.3,0,,,"36,99",,,,https://ravedfabrics.com/wp-content/uploads/2022/09/Raved-tafelzeil-boerenbont-ruit-blauw-2.jpg,,,RAV-RAVEDTAFEL-12609,,,,,,17,,size,"140 x 320 cm",,0,,,,
12619,variation,9503571333368,,"Raved Tafelzeil - Boerenbont Ruit Blauw - 140 x 270 cm",1,0,visible,,6015,,,taxable,parent,1,27,,0,0,0.5,270,140,0.3,0,,,"31,99",,,,https://ravedfabrics.com/wp-content/uploads/2022/09/Raved-tafelzeil-boerenbont-ruit-blauw-2.jpg,,,RAV-RAVEDTAFEL-12609,,,,,,12,,size,"140 x 270 cm",,0,,,,
12620,variation,9504851995191,,"Raved Tafelzeil - Boerenbont Ruit Blauw - 140 x 280 cm",1,0,visible,,6016,,,taxable,parent,1,26,,0,0,0.5,280,140,0.3,0,,,"32,99",,,,https://ravedfabrics.com/wp-content/uploads/2022/09/Raved-tafelzeil-boerenbont-ruit-blauw-2.jpg,,,RAV-RAVEDTAFEL-12609,,,,,,13,,size,"140 x 280 cm",,0,,,,
12621,variation,9506289744563,,"Raved Tafelzeil - Boerenbont Ruit Blauw - 140 x 290 cm",1,0,visible,,6017,,,taxable,parent,1,25,,0,0,0.5,290,140,0.3,0,,,"33,99",,,,https://ravedfabrics.com/wp-content/uploads/2022/09/Raved-tafelzeil-boerenbont-ruit-blauw-2.jpg,,,RAV-RAVEDTAFEL-12609,,,,,,14,,size,"140 x 290 cm",,0,,,,
12622,variation,9506656979338,,"Raved Tafelzeil - Boerenbont Ruit Blauw - 140 x 300 cm",1,0,visible,,6018,,,taxable,parent,1,24,,0,0,0.5,300,140,0.3,0,,,"34,99",,,,https://ravedfabrics.com/wp-content/uploads/2022/09/Raved-tafelzeil-boerenbont-ruit-blauw-2.jpg,,,RAV-RAVEDTAFEL-12609,,,,,,15,,size,"140 x 300 cm",,0,,,,
12615,variation,9508972123532,,"Raved Tafelzeil - Boerenbont Ruit Blauw - 140 x 230 cm",1,0,visible,,6011,,,taxable,parent,1,32,,0,0,0.5,230,140,0.3,0,,,"26,99",,,,https://ravedfabrics.com/wp-content/uploads/2022/09/Raved-tafelzeil-boerenbont-ruit-blauw-2.jpg,,,RAV-RAVEDTAFEL-12609,,,,,,8,,size,"140 x 230 cm",,0,,,,
12616,variation,9507184522737,,"Raved Tafelzeil - Boerenbont Ruit Blauw - 140 x 240 cm",1,0,visible,,6012,,,taxable,parent,1,31,,0,0,0.5,240,140,0.3,0,,,"27,99",,,,https://ravedfabrics.com/wp-content/uploads/2022/09/Raved-tafelzeil-boerenbont-ruit-blauw-2.jpg,,,RAV-RAVEDTAFEL-12609,,,,,,9,,size,"140 x 240 cm",,0,,,,
